[2025-07-29 11:46:22,024] INFO - 🚀 Starting preprocessing...
[2025-07-29 11:46:23,625] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-07-29 11:46:23,696] INFO - 🧹 Cleaning text...
[2025-07-29 11:46:24,831] INFO - ✅ Text cleaned.
[2025-07-29 11:46:24,832] INFO - 🔠 Vectorizing using TF-IDF...
[2025-07-29 11:46:25,133] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-07-29 11:46:25,134] INFO - 📐 Calculating cosine similarity...
[2025-07-29 11:46:25,734] INFO - ✅ Cosine similarity matrix generated.
[2025-07-29 11:46:30,599] INFO - 💾 Data saved to disk.
[2025-07-29 11:46:30,600] INFO - ✅ Preprocessing complete.
[2025-07-29 11:49:00,936] INFO - 🚀 Starting preprocessing...
[2025-07-29 11:49:01,919] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-07-29 11:49:01,975] INFO - 🧹 Cleaning text...
[2025-07-29 11:49:03,061] INFO - ✅ Text cleaned.
[2025-07-29 11:49:03,062] INFO - 🔠 Vectorizing using TF-IDF...
[2025-07-29 11:49:03,366] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-07-29 11:49:03,367] INFO - 📐 Calculating cosine similarity...
[2025-07-29 11:49:04,196] INFO - ✅ Cosine similarity matrix generated.
[2025-07-29 11:49:04,815] INFO - 💾 Data saved to disk.
[2025-07-29 11:49:04,816] INFO - ✅ Preprocessing complete.
[2025-08-03 15:45:57,167] INFO - 🚀 Starting preprocessing...
[2025-08-03 15:45:58,703] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-08-03 15:45:58,762] INFO - 🧹 Cleaning text...
[2025-08-03 15:46:00,111] INFO - ✅ Text cleaned.
[2025-08-03 15:46:00,112] INFO - 🔠 Vectorizing using TF-IDF...
[2025-08-03 15:46:00,430] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-08-03 15:46:00,430] INFO - 📐 Calculating cosine similarity...
[2025-08-03 15:46:01,040] INFO - ✅ Cosine similarity matrix generated.
[2025-08-03 15:46:02,351] INFO - 💾 Data saved to disk.
[2025-08-03 15:46:02,351] INFO - ✅ Preprocessing complete.
